iter	Passed	Remaining
0	12	3840
1	24	3715
2	36	3610
3	47	3489
4	59	3494
5	69	3418
6	80	3349
7	90	3313
8	101	3289
9	113	3291
10	123	3242
11	136	3269
12	146	3237
13	156	3206
14	167	3179
15	178	3166
16	189	3160
17	199	3131
18	211	3124
19	222	3117
20	233	3108
21	244	3092
22	255	3074
23	266	3066
24	276	3044
25	288	3038
26	299	3027
27	311	3023
28	320	2999
29	331	2979
30	343	2976
31	354	2969
32	366	2966
33	378	2961
34	390	2955
35	401	2943
36	413	2938
37	424	2926
38	435	2912
39	445	2898
40	457	2890
41	468	2879
42	479	2864
43	489	2847
44	500	2838
45	512	2828
46	523	2818
47	534	2807
48	545	2791
49	555	2779
50	567	2768
51	578	2757
52	588	2741
53	599	2730
54	610	2720
55	623	2715
56	634	2705
57	645	2691
58	655	2676
59	666	2667
60	677	2652
61	688	2643
62	700	2633
63	711	2623
64	723	2614
65	734	2603
66	746	2596
67	758	2587
68	769	2575
69	780	2565
70	790	2550
71	800	2536
72	811	2524
73	823	2514
74	834	2503
75	843	2487
76	854	2475
77	866	2465
78	877	2455
79	889	2444
80	900	2433
81	911	2422
82	922	2412
83	934	2403
84	946	2393
85	956	2381
86	967	2369
87	978	2356
88	989	2345
89	1000	2334
90	1011	2323
91	1022	2311
92	1033	2301
93	1045	2290
94	1056	2278
95	1068	2269
96	1078	2257
97	1089	2246
98	1101	2235
99	1112	2224
100	1123	2213
101	1135	2203
102	1145	2191
103	1157	2181
104	1168	2170
105	1178	2157
106	1190	2147
107	1202	2137
108	1212	2125
109	1224	2115
110	1235	2103
111	1246	2091
112	1258	2081
113	1268	2069
114	1279	2058
115	1290	2047
116	1302	2037
117	1315	2028
118	1325	2016
119	1337	2006
120	1349	1996
121	1361	1987
122	1373	1975
123	1384	1965
124	1396	1955
125	1406	1942
126	1417	1931
127	1429	1920
128	1439	1908
129	1450	1896
130	1461	1884
131	1472	1874
132	1483	1863
133	1496	1853
134	1508	1843
135	1519	1832
136	1530	1820
137	1542	1810
138	1553	1799
139	1564	1788
140	1576	1777
141	1587	1766
142	1598	1754
143	1609	1743
144	1621	1732
145	1632	1722
146	1643	1710
147	1654	1699
148	1665	1687
149	1675	1675
150	1687	1664
151	1697	1653
152	1708	1641
153	1719	1630
154	1731	1619
155	1742	1608
156	1754	1597
157	1766	1587
158	1778	1576
159	1789	1566
160	1800	1554
161	1811	1543
162	1823	1532
163	1834	1521
164	1844	1509
165	1856	1498
166	1868	1487
167	1879	1476
168	1890	1465
169	1902	1454
170	1913	1443
171	1924	1432
172	1935	1420
173	1948	1410
174	1960	1400
175	1970	1388
176	1981	1376
177	1992	1365
178	2003	1354
179	2015	1343
180	2026	1332
181	2037	1320
182	2048	1309
183	2059	1298
184	2070	1287
185	2081	1275
186	2093	1264
187	2105	1254
188	2116	1243
189	2127	1231
190	2138	1220
191	2149	1208
192	2159	1197
193	2170	1186
194	2181	1174
195	2193	1163
196	2203	1152
197	2214	1140
198	2226	1130
199	2238	1119
200	2248	1107
201	2260	1096
202	2272	1086
203	2284	1074
204	2295	1063
205	2306	1052
206	2318	1041
207	2329	1030
208	2341	1019
209	2352	1008
210	2364	997
211	2377	986
212	2390	976
213	2402	965
214	2414	954
215	2424	943
216	2435	931
217	2447	920
218	2458	909
219	2469	897
220	2480	886
221	2491	875
222	2503	864
223	2515	853
224	2526	842
225	2537	830
226	2548	819
227	2559	808
228	2571	797
229	2582	785
230	2593	774
231	2604	763
232	2615	752
233	2626	740
234	2638	729
235	2649	718
236	2661	707
237	2672	696
238	2684	685
239	2695	673
240	2706	662
241	2717	651
242	2729	640
243	2740	629
244	2751	617
245	2762	606
246	2773	595
247	2785	584
248	2796	572
249	2807	561
250	2819	550
251	2830	539
252	2841	527
253	2852	516
254	2863	505
255	2874	494
256	2885	482
257	2898	471
258	2911	460
259	2922	449
260	2934	438
261	2946	427
262	2958	416
263	2970	405
264	2982	393
265	2993	382
266	3004	371
267	3014	359
268	3026	348
269	3038	337
270	3049	326
271	3062	315
272	3072	303
273	3084	292
274	3096	281
275	3107	270
276	3119	259
277	3132	247
278	3143	236
279	3156	225
280	3168	214
281	3181	203
282	3194	191
283	3206	180
284	3218	169
285	3230	158
286	3243	146
287	3255	135
288	3267	124
289	3279	113
290	3291	101
291	3303	90
292	3315	79
293	3327	67
294	3339	56
295	3351	45
296	3362	33
297	3374	22
298	3387	11
299	3398	0
